Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,HI,Hawaii,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,510",90.2,89,91.5,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,15,BO1,CAT1,_HCVU651,RESP046,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,493,9.8,8.6,11,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,15,BO1,CAT1,_HCVU651,RESP054,"(21.304850435000446, -157.85774940299973)"
2014,ID,Idaho,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,845",79.8,77.9,81.7,207,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,16,BO1,CAT1,_HCVU651,RESP046,"(43.682630005000476, -114.3637300419997)"
2014,ID,Idaho,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,645,20.2,18.3,22.1,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,16,BO1,CAT1,_HCVU651,RESP054,"(43.682630005000476, -114.3637300419997)"
2014,IL,Illinois,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"3,042",85.7,84,87.4,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,17,BO1,CAT1,_HCVU651,RESP046,"(40.48501028300046, -88.99771017799969)"
2014,IL,Illinois,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,342,14.3,12.7,16,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,17,BO1,CAT1,_HCVU651,RESP054,"(40.48501028300046, -88.99771017799969)"
2014,IN,Indiana,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"6,224",82,80.7,83.2,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,18,BO1,CAT1,_HCVU651,RESP046,"(39.766910452000445, -86.14996019399968)"
2014,IN,Indiana,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,959,18,16.8,19.3,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,18,BO1,CAT1,_HCVU651,RESP054,"(39.766910452000445, -86.14996019399968)"
2014,IA,Iowa,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,719",90.4,89.3,91.5,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,19,BO1,CAT1,_HCVU651,RESP046,"(42.46940091300047, -93.81649055599968)"
2014,IA,Iowa,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,372,9.6,8.5,10.7,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,19,BO1,CAT1,_HCVU651,RESP054,"(42.46940091300047, -93.81649055599968)"
2014,KS,Kansas,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"7,899",82.4,81.4,83.4,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,20,BO1,CAT1,_HCVU651,RESP046,"(38.34774030000045, -98.20078122699965)"
2014,KS,Kansas,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,256",17.6,16.6,18.6,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,20,BO1,CAT1,_HCVU651,RESP054,"(38.34774030000045, -98.20078122699965)"
2014,KY,Kentucky,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"6,573",87.8,86.4,89.2,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,21,BO1,CAT1,_HCVU651,RESP046,"(37.645970271000465, -84.77497104799966)"
2014,KY,Kentucky,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,537,12.2,10.8,13.6,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,21,BO1,CAT1,_HCVU651,RESP054,"(37.645970271000465, -84.77497104799966)"
2014,LA,Louisiana,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"3,725",77.3,75.7,78.8,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,22,BO1,CAT1,_HCVU651,RESP046,"(31.31266064400046, -92.44568007099969)"
2014,LA,Louisiana,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,891,22.7,21.2,24.3,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,22,BO1,CAT1,_HCVU651,RESP054,"(31.31266064400046, -92.44568007099969)"
2014,ME,Maine,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"5,025",86.1,84.8,87.3,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,23,BO1,CAT1,_HCVU651,RESP046,"(45.254228894000505, -68.98503133599962)"
2014,ME,Maine,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,671,13.9,12.7,15.2,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,23,BO1,CAT1,_HCVU651,RESP054,"(45.254228894000505, -68.98503133599962)"
2014,MD,Maryland,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"7,223",89,87.5,90.5,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,24,BO1,CAT1,_HCVU651,RESP046,"(39.29058096400047, -76.60926011099963)"
2014,MD,Maryland,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,440,11,9.5,12.5,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,24,BO1,CAT1,_HCVU651,RESP054,"(39.29058096400047, -76.60926011099963)"
2014,MA,Massachusetts,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"9,211",94.6,93.8,95.4,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,25,BO1,CAT1,_HCVU651,RESP046,"(42.27687047000046, -72.08269067499964)"
2014,MA,Massachusetts,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,404,5.4,4.6,6.2,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,25,BO1,CAT1,_HCVU651,RESP054,"(42.27687047000046, -72.08269067499964)"
2014,MI,Michigan,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,910",87.3,86.1,88.5,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,26,BO1,CAT1,_HCVU651,RESP046,"(44.6613195430005, -84.71439026999968)"
2014,MI,Michigan,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,537,12.7,11.5,13.9,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,26,BO1,CAT1,_HCVU651,RESP054,"(44.6613195430005, -84.71439026999968)"
2014,MN,Minnesota,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"10,839",91.2,90.5,91.9,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,27,BO1,CAT1,_HCVU651,RESP046,"(46.35564873600049, -94.79420050299967)"
2014,MN,Minnesota,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,817,8.8,8.1,9.5,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,27,BO1,CAT1,_HCVU651,RESP054,"(46.35564873600049, -94.79420050299967)"
2014,MS,Mississippi,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,133",77,74.7,79.3,207,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,28,BO1,CAT1,_HCVU651,RESP046,"(32.745510099000455, -89.53803082499968)"
2014,MS,Mississippi,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,465,23,20.7,25.3,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,28,BO1,CAT1,_HCVU651,RESP054,"(32.745510099000455, -89.53803082499968)"
2014,MO,Missouri,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"3,667",83.9,82.2,85.6,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,29,BO1,CAT1,_HCVU651,RESP046,"(38.635790776000476, -92.56630005299968)"
2014,MO,Missouri,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,552,16.1,14.4,17.8,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,29,BO1,CAT1,_HCVU651,RESP054,"(38.635790776000476, -92.56630005299968)"
2014,MT,Montana,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"3,961",83.9,82.3,85.4,207,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,30,BO1,CAT1,_HCVU651,RESP046,"(47.06652897200047, -109.42442064499971)"
2014,MT,Montana,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,629,16.2,14.6,17.7,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,30,BO1,CAT1,_HCVU651,RESP054,"(47.06652897200047, -109.42442064499971)"
2014,NE,Nebraska,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"12,653",84.7,83.7,85.8,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,31,BO1,CAT1,_HCVU651,RESP046,"(41.6410409880005, -99.36572062299967)"
2014,NE,Nebraska,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,670",15.3,14.2,16.4,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,31,BO1,CAT1,_HCVU651,RESP054,"(41.6410409880005, -99.36572062299967)"
2014,NV,Nevada,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,029",79.2,76.6,81.9,207,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,32,BO1,CAT1,_HCVU651,RESP046,"(39.493240390000494, -117.07184056399967)"
2014,NV,Nevada,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,379,20.8,18.1,23.4,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,32,BO1,CAT1,_HCVU651,RESP054,"(39.493240390000494, -117.07184056399967)"
2014,NH,New Hampshire,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"3,392",85.8,84.1,87.4,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,33,BO1,CAT1,_HCVU651,RESP046,"(43.65595011300047, -71.50036091999965)"
2014,NH,New Hampshire,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,476,14.2,12.6,15.9,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,33,BO1,CAT1,_HCVU651,RESP054,"(43.65595011300047, -71.50036091999965)"
2014,NJ,New Jersey,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"7,801",85,83.9,86.1,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,34,BO1,CAT1,_HCVU651,RESP046,"(40.13057004800049, -74.27369128799967)"
2014,NJ,New Jersey,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,030",15,13.9,16.1,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,34,BO1,CAT1,_HCVU651,RESP054,"(40.13057004800049, -74.27369128799967)"
2014,NM,New Mexico,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,960",81.2,79.6,82.8,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,35,BO1,CAT1,_HCVU651,RESP046,"(34.52088095200048, -106.24058098499967)"
2014,NM,New Mexico,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,893,18.8,17.2,20.5,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,35,BO1,CAT1,_HCVU651,RESP054,"(34.52088095200048, -106.24058098499967)"
2014,NY,New York,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,131",85.4,84,86.8,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,36,BO1,CAT1,_HCVU651,RESP046,"(42.82700103200045, -75.54397042699964)"
2014,NY,New York,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,520,14.6,13.3,16,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,36,BO1,CAT1,_HCVU651,RESP054,"(42.82700103200045, -75.54397042699964)"
2014,NC,North Carolina,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"3,908",80,78.7,81.3,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,37,BO1,CAT1,_HCVU651,RESP046,"(35.466220975000454, -79.15925046299964)"
2014,NC,North Carolina,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,923,20,18.7,21.3,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,37,BO1,CAT1,_HCVU651,RESP054,"(35.466220975000454, -79.15925046299964)"
2014,ND,North Dakota,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,519",89.6,88.1,91,207,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,38,BO1,CAT1,_HCVU651,RESP046,"(47.47531977900047, -100.11842104899966)"
2014,ND,North Dakota,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,378,10.5,9,11.9,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,38,BO1,CAT1,_HCVU651,RESP054,"(47.47531977900047, -100.11842104899966)"
2014,OH,Ohio,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"6,153",87.5,86.1,88.8,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,39,BO1,CAT1,_HCVU651,RESP046,"(40.06021014100048, -82.40426005599966)"
2014,OH,Ohio,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,665,12.5,11.2,13.9,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,39,BO1,CAT1,_HCVU651,RESP054,"(40.06021014100048, -82.40426005599966)"
2014,OK,Oklahoma,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,592",82.8,81.5,84.2,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,40,BO1,CAT1,_HCVU651,RESP046,"(35.47203135600046, -97.52107021399968)"
2014,OK,Oklahoma,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,764,17.2,15.9,18.5,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,40,BO1,CAT1,_HCVU651,RESP054,"(35.47203135600046, -97.52107021399968)"
2014,OR,Oregon,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"2,812",86.5,84.8,88.1,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,41,BO1,CAT1,_HCVU651,RESP046,"(44.56744942400047, -120.15503132599969)"
2014,OR,Oregon,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,326,13.5,11.9,15.2,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,41,BO1,CAT1,_HCVU651,RESP054,"(44.56744942400047, -120.15503132599969)"
2014,PA,Pennsylvania,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"6,150",87.3,86.1,88.5,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,42,BO1,CAT1,_HCVU651,RESP046,"(40.79373015200048, -77.86070029399963)"
2014,PA,Pennsylvania,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,657,12.7,11.5,13.9,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,42,BO1,CAT1,_HCVU651,RESP054,"(40.79373015200048, -77.86070029399963)"
